,method,Batch_ASW_batch-RNA,graph_connectivity_batch-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,Batch_ASW_batch-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,Output,nCell
0,bindSC,0.9635778645477986,1.0,1.0,0.9553103268885308,0.954853849534541,1.0,1.0,0.9561892003162004,0.1318653475354437,0.0043595911633671,0.0058612199778916,0.0028579623488426,Embedding,12138
1,GLUE,0.9569076251650008,0.9862128746784912,1.0,0.9517703845692388,0.9542300225030852,0.9981928067507156,1.0,0.9568503846300428,0.0421955289339529,0.0385029352158911,0.0435590644156366,0.0334468060161457,Embedding,12138
2,LIGER_INMF,0.9246400527108722,0.9970433639947438,1.0,0.953547326784814,0.948650806504516,1.0,1.0,0.9524145962104408,0.2089676037753285,0.001905901416943,0.0023294350651525,0.0014823677687334,Embedding,12138
3,LIGER_OINMF,0.925449210539136,0.9843972538971462,1.0,0.9541050153755708,0.9624883581106582,1.0,1.0,0.9554853236219716,0.2217820065569152,0.001476244012327,0.0023609436237564,0.0005915444008977,Embedding,12138
4,LIGER_UINMF,0.9184643907685044,0.996928868918032,1.0,0.9512697695466672,0.909928658215324,1.0,1.0,0.9577698679373698,0.2327002260844909,0.0016381310086088,0.0018376503199008,0.0014386116973168,Embedding,12138
5,MaxFuse,0.9610462463492424,1.0,1.0,0.9538742925759612,0.9617719086374704,1.0,1.0,0.953973150804588,0.1785460173728025,0.0094297474290691,0.0086701922754832,0.010189302582655,Embedding,12138
6,MultiMAP,0.9252488485240848,0.8532216995370523,1.0,0.961055824257816,0.93639101704276,0.9455265804889396,1.0,0.9575900875819998,0.1610639860604464,0.0040673257294074,0.0046711176431179,0.0034635338156969,Embedding,12138
7,pamona,0.9107756244675358,0.9996565147698648,1.0,0.9627482469648252,0.818489287583394,0.4651914759080899,1.0,0.9685698793604054,0.5173439558617976,5.600358422939068e-05,5.600358422939068e-05,5.600358422939068e-05,Embedding,12138
8,SCALEX,0.9483759879688208,1.0,1.0,0.9501781629794236,0.9722773894102216,1.0,1.0,0.954795393753603,0.133163937676526,0.006875408250427,0.0061902279502897,0.0075605885505644,Embedding,12138
9,SeuratV3_CCA,0.9554097489408832,0.991171652163796,1.0,0.9534825216357348,0.9575199889947328,0.9924655604063,1.0,0.957855446726136,0.0590291791080057,0.0176728992898536,0.0225522769905872,0.01279352158912,Embedding,12138
10,SeuratV4_RPCA,0.9568028316370576,0.9918825004708944,1.0,0.953862430759584,0.9497823696969792,0.9927428909952608,1.0,0.9586884449037476,0.1017460157250632,0.0166823162663718,0.0236478536495494,0.0097167788831943,Embedding,12138
11,SIMBA,0.962395180955148,0.9790232638561642,1.0,0.9470226926960288,0.9688805134622372,1.0,1.0,0.9550815396381678,0.1024594438088118,0.010472827270291,0.0095610156433189,0.0113846388972632,Embedding,12138
12,uniPort,0.9713174998721478,0.9999427524616442,1.0,0.9566135685322444,0.9640955710392272,0.9804936367712724,1.0,0.954822719314231,0.0616381896915264,0.018736967390212,0.015887745787693,0.021586188992731,Embedding,12138
13,bindSC,0.9635778645477986,1.0,1.0,0.9553103268885308,0.954853849534541,1.0,1.0,0.9561892003162004,0.1318653475354437,0.0043595911633671,0.0058612199778916,0.0028579623488426,Embedding,12138
14,GLUE,0.9534763758186608,0.9704424612585626,1.0,0.954428396397355,0.9506651649929732,1.0,1.0,0.955716383869655,0.0416187905546559,0.0371028456101564,0.0413434160720865,0.0328622751482263,Embedding,12138
15,LIGER_INMF,0.9246400527108722,0.9970433639947438,1.0,0.953547326784814,0.948650806504516,1.0,1.0,0.9524145962104408,0.2089676037753285,0.001905901416943,0.0023294350651525,0.0014823677687334,Embedding,12138
16,LIGER_OINMF,0.925449210539136,0.9843972538971462,1.0,0.9541050153755708,0.9624883581106582,1.0,1.0,0.9554853236219716,0.2217820065569152,0.001476244012327,0.0023609436237564,0.0005915444008977,Embedding,12138
17,MaxFuse,0.9577076021596712,0.9998357424441524,1.0,0.9558754372616256,0.9595350994754526,0.9999427524616442,1.0,0.9482784225315212,0.177585687484626,0.0103319285331457,0.009210967071986,0.0114528899943054,Embedding,12138
18,MultiMAP,0.9252488485240848,0.8532216995370523,1.0,0.961055824257816,0.93639101704276,0.9455265804889396,1.0,0.9575900875819998,0.1610639860604464,0.0040673257294074,0.0046711176431179,0.0034635338156969,Embedding,12138
19,pamona,0.9107756244675358,0.9996565147698648,1.0,0.9627482469648252,0.818489287583394,0.4651914759080899,1.0,0.9685698793604054,0.5173439558617976,5.600358422939068e-05,5.600358422939068e-05,5.600358422939068e-05,Embedding,12138
20,SCALEX,0.9483759879688208,1.0,1.0,0.9501781629794236,0.9722773894102216,1.0,1.0,0.954795393753603,0.133163937676526,0.006875408250427,0.0061902279502897,0.0075605885505644,Embedding,12138
21,SeuratV3_CCA,0.9554097489408832,0.991171652163796,1.0,0.9534825216357348,0.9575199889947328,0.9924655604063,1.0,0.957855446726136,0.0590291791080057,0.0176728992898536,0.0225522769905872,0.01279352158912,Embedding,12138
22,SeuratV4_RPCA,0.9568028316370576,0.9918825004708944,1.0,0.953862430759584,0.9497823696969792,0.9927428909952608,1.0,0.9586884449037476,0.1017460157250632,0.0166823162663718,0.0236478536495494,0.0097167788831943,Embedding,12138
23,SIMBA,0.960028160940292,0.9747830527005912,1.0,0.9550434199364428,0.9641343002260409,1.0,1.0,0.9540779318878648,0.1019955860024367,0.0094297474290691,0.008103142900211,0.0107563519579271,Embedding,12138
24,uniPort,0.9713174998721478,0.9999427524616442,1.0,0.9566135685322444,0.9640955710392272,0.9804936367712724,1.0,0.954822719314231,0.0616381896915264,0.018736967390212,0.015887745787693,0.021586188992731,Embedding,12138
25,bindSC,0.9635778645477986,1.0,1.0,0.9553103268885308,0.954853849534541,1.0,1.0,0.9561892003162004,0.1318653475354437,0.0043595911633671,0.0058612199778916,0.0028579623488426,Embedding,12138
26,GLUE,0.95724792338654,0.9876939173325197,1.0,0.9528722002726476,0.9516889550384274,0.9971564370278568,1.0,0.9563025308374328,0.0407370972458535,0.0400859524168425,0.0452794735872441,0.0348924312464409,Embedding,12138
27,LIGER_INMF,0.9246400527108722,0.9970433639947438,1.0,0.953547326784814,0.948650806504516,1.0,1.0,0.9524145962104408,0.2089676037753285,0.001905901416943,0.0023294350651525,0.0014823677687334,Embedding,12138
28,LIGER_OINMF,0.925449210539136,0.9843972538971462,1.0,0.9541050153755708,0.9624883581106582,1.0,1.0,0.9554853236219716,0.2217820065569152,0.001476244012327,0.0023609436237564,0.0005915444008977,Embedding,12138
29,MaxFuse,0.9568365259899588,0.9999427524616442,1.0,0.948212003853534,0.956785908220102,1.0,1.0,0.9474066670942658,0.1804117844065995,0.0094218441195189,0.0082641401199209,0.010579548119117,Embedding,12138
30,MultiMAP,0.9252488485240848,0.8532216995370523,1.0,0.961055824257816,0.93639101704276,0.9455265804889396,1.0,0.9575900875819998,0.1610639860604464,0.0040673257294074,0.0046711176431179,0.0034635338156969,Embedding,12138
31,pamona,0.9107756244675358,0.9996565147698648,1.0,0.9627482469648252,0.818489287583394,0.4651914759080899,1.0,0.9685698793604054,0.5173439558617976,5.600358422939068e-05,5.600358422939068e-05,5.600358422939068e-05,Embedding,12138
32,SCALEX,0.9483759879688208,1.0,1.0,0.9501781629794236,0.9722773894102216,1.0,1.0,0.954795393753603,0.133163937676526,0.006875408250427,0.0061902279502897,0.0075605885505644,Embedding,12138
33,SeuratV3_CCA,0.9554097489408832,0.991171652163796,1.0,0.9534825216357348,0.9575199889947328,0.9924655604063,1.0,0.957855446726136,0.0590291791080057,0.0176728992898536,0.0225522769905872,0.01279352158912,Embedding,12138
34,SeuratV4_RPCA,0.9568028316370576,0.9918825004708944,1.0,0.953862430759584,0.9497823696969792,0.9927428909952608,1.0,0.9586884449037476,0.1017460157250632,0.0166823162663718,0.0236478536495494,0.0097167788831943,Embedding,12138
35,SIMBA,0.9626863899102232,0.9787128691380962,1.0,0.9539077874385368,0.969399374516106,1.0,1.0,0.9505900155988736,0.1073153343970121,0.0097535214216326,0.0093859913576524,0.0101210514856128,Embedding,12138
36,uniPort,0.9713174998721478,0.9999427524616442,1.0,0.9566135685322444,0.9640955710392272,0.9804936367712724,1.0,0.954822719314231,0.0616381896915264,0.018736967390212,0.015887745787693,0.021586188992731,Embedding,12138
37,bindSC,0.9635778645477986,1.0,1.0,0.9553103268885308,0.954853849534541,1.0,1.0,0.9561892003162004,0.1318653475354437,0.0043595911633671,0.0058612199778916,0.0028579623488426,Embedding,12138
38,GLUE,0.9537797784531798,0.9832562386732348,1.0,0.9539435498669792,0.9531332462096636,0.9873521681997371,1.0,0.955082006458187,0.0432055173341359,0.0398995703949351,0.0442083919539074,0.0355907488359628,Embedding,12138
39,LIGER_INMF,0.9246400527108722,0.9970433639947438,1.0,0.953547326784814,0.948650806504516,1.0,1.0,0.9524145962104408,0.2089676037753285,0.001905901416943,0.0023294350651525,0.0014823677687334,Embedding,12138
40,LIGER_OINMF,0.925449210539136,0.9843972538971462,1.0,0.9541050153755708,0.9624883581106582,1.0,1.0,0.9554853236219716,0.2217820065569152,0.001476244012327,0.0023609436237564,0.0005915444008977,Embedding,12138
41,MaxFuse,0.9544378193822184,1.0,1.0,0.9521780496211418,0.9448481347179892,1.0,1.0,0.9497140942736534,0.178709705363248,0.0107300773791578,0.0097272468428633,0.0117329079154523,Embedding,12138
42,MultiMAP,0.9252488485240848,0.8532216995370523,1.0,0.961055824257816,0.93639101704276,0.9455265804889396,1.0,0.9575900875819998,0.1610639860604464,0.0040673257294074,0.0046711176431179,0.0034635338156969,Embedding,12138
43,pamona,0.9107756244675358,0.9996565147698648,1.0,0.9627482469648252,0.818489287583394,0.4651914759080899,1.0,0.9685698793604054,0.5173439558617976,5.600358422939068e-05,5.600358422939068e-05,5.600358422939068e-05,Embedding,12138
44,SCALEX,0.9483759879688208,1.0,1.0,0.9501781629794236,0.9722773894102216,1.0,1.0,0.954795393753603,0.133163937676526,0.006875408250427,0.0061902279502897,0.0075605885505644,Embedding,12138
45,SeuratV3_CCA,0.9554097489408832,0.991171652163796,1.0,0.9534825216357348,0.9575199889947328,0.9924655604063,1.0,0.957855446726136,0.0590291791080057,0.0176728992898536,0.0225522769905872,0.01279352158912,Embedding,12138
46,SeuratV4_RPCA,0.9568028316370576,0.9918825004708944,1.0,0.953862430759584,0.9497823696969792,0.9927428909952608,1.0,0.9586884449037476,0.1017460157250632,0.0166823162663718,0.0236478536495494,0.0097167788831943,Embedding,12138
47,SIMBA,0.9653887618172834,0.9913707304257096,1.0,0.9514854823652616,0.9684676169290144,1.0,1.0,0.951753751602941,0.1072834447143554,0.0088128182259739,0.0079963697115867,0.0096292667403611,Embedding,12138
48,uniPort,0.9713174998721478,0.9999427524616442,1.0,0.9566135685322444,0.9640955710392272,0.9804936367712724,1.0,0.954822719314231,0.0616381896915264,0.018736967390212,0.015887745787693,0.021586188992731,Embedding,12138
49,bindSC,0.9635778645477986,1.0,1.0,0.9553103268885308,0.954853849534541,1.0,1.0,0.9561892003162004,0.1318653475354437,0.0043595911633671,0.0058612199778916,0.0028579623488426,Embedding,12138
50,GLUE,0.9423917602354928,0.9822485308442148,1.0,0.9519845377501388,0.9558657449358764,0.995400788436268,1.0,0.953431085490852,0.0432905741741267,0.040145462767561,0.0455787525541821,0.0347121729809399,Embedding,12138
51,LIGER_INMF,0.9246400527108722,0.9970433639947438,1.0,0.953547326784814,0.948650806504516,1.0,1.0,0.9524145962104408,0.2089676037753285,0.001905901416943,0.0023294350651525,0.0014823677687334,Embedding,12138
52,LIGER_OINMF,0.925449210539136,0.9843972538971462,1.0,0.9541050153755708,0.9624883581106582,1.0,1.0,0.9554853236219716,0.2217820065569152,0.001476244012327,0.0023609436237564,0.0005915444008977,Embedding,12138
53,MaxFuse,0.960269710042278,1.0,1.0,0.952202218368574,0.9610038858159742,1.0,1.0,0.9496804879333886,0.1755629864151023,0.0109015948983351,0.0100387733226141,0.0117644164740562,Embedding,12138
54,MultiMAP,0.9252488485240848,0.8532216995370523,1.0,0.961055824257816,0.93639101704276,0.9455265804889396,1.0,0.9575900875819998,0.1610639860604464,0.0040673257294074,0.0046711176431179,0.0034635338156969,Embedding,12138
55,pamona,0.9107756244675358,0.9996565147698648,1.0,0.9627482469648252,0.818489287583394,0.4651914759080899,1.0,0.9685698793604054,0.5173439558617976,5.600358422939068e-05,5.600358422939068e-05,5.600358422939068e-05,Embedding,12138
56,SCALEX,0.9483759879688208,1.0,1.0,0.9501781629794236,0.9722773894102216,1.0,1.0,0.954795393753603,0.133163937676526,0.006875408250427,0.0061902279502897,0.0075605885505644,Embedding,12138
57,SeuratV3_CCA,0.9554097489408832,0.991171652163796,1.0,0.9534825216357348,0.9575199889947328,0.9924655604063,1.0,0.957855446726136,0.0590291791080057,0.0176728992898536,0.0225522769905872,0.01279352158912,Embedding,12138
58,SeuratV4_RPCA,0.9568028316370576,0.9918825004708944,1.0,0.953862430759584,0.9497823696969792,0.9927428909952608,1.0,0.9586884449037476,0.1017460157250632,0.0166823162663718,0.0236478536495494,0.0097167788831943,Embedding,12138
59,SIMBA,0.9680262784981556,0.9782018157076932,1.0,0.9521563901392952,0.9717637261228048,1.0,1.0,0.9523772182927848,0.1073626563860629,0.0101577940240511,0.0094227338960908,0.0108928541520115,Embedding,12138
60,uniPort,0.9713174998721478,0.9999427524616442,1.0,0.9566135685322444,0.9640955710392272,0.9804936367712724,1.0,0.954822719314231,0.0616381896915264,0.018736967390212,0.015887745787693,0.021586188992731,Embedding,12138
61,LIGER_UINMF,0.9184643907685044,0.996928868918032,1.0,0.9512697695466672,0.909928658215324,1.0,1.0,0.9577698679373698,0.2327002260844909,0.0016381310086088,0.0018376503199008,0.0014386116973168,Embedding,12138
62,LIGER_UINMF,0.9184643907685044,0.996928868918032,1.0,0.9512697695466672,0.909928658215324,1.0,1.0,0.9577698679373698,0.2327002260844909,0.0016381310086088,0.0018376503199008,0.0014386116973168,Embedding,12138
63,LIGER_UINMF,0.9184643907685044,0.996928868918032,1.0,0.9512697695466672,0.909928658215324,1.0,1.0,0.9577698679373698,0.2327002260844909,0.0016381310086088,0.0018376503199008,0.0014386116973168,Embedding,12138
64,LIGER_UINMF,0.9184643907685044,0.996928868918032,1.0,0.9512697695466672,0.909928658215324,1.0,1.0,0.9577698679373698,0.2327002260844909,0.0016381310086088,0.0018376503199008,0.0014386116973168,Embedding,12138
