,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC
0,bindSC-louvain,Embedding,6924.0,0.8462098160080612,0.912139030059231,0.4073054624808607,0.7714112531948274,0.8544547484342965,1.0,0.425867514174139,0.362066207309505,0.4301477160157215,0.5565149253826351,0.5674773024588127,0.9440662282956288,0.933293834398696,0.3480965178585018,0.4202319769035513,0.7528944362110994,0.8866975119861306,0.248605223686233,0.8220291414508683,0.8908373021062747,1.0,0.410935760196554,0.3307752434101316,0.3271859994997856,0.5831406863656887,0.5859224482811626,0.9630325636492744,0.9771955445191388,0.5623980639771113,0.5834838598813767,0.1218321574069346,0.0025996533795493,0.0028885037550548,0.0023108030040439,0.4617995378393992,0.4454072790294627,0.4781917966493356,0.6414644714038128,0.6409589832466782,0.6419699595609474
1,scglue-louvain,Embedding,6924.0,0.8892717223987319,0.9058298998909692,0.627633409638719,0.9658194456897804,0.9710797442586968,1.0,0.2938580779881632,0.6607639202864793,0.5824812802563853,0.7698943562805598,0.7163268745667012,0.9802506639768308,0.9842153519431652,0.5231405837878597,0.5000418156304677,0.881486591667173,0.9125786456140104,0.5446179697812099,0.937433964215998,0.9530420160291272,1.0,0.3319466968987938,0.640708734472213,0.6049481866307569,0.7443899240383035,0.7220800800310567,0.9796892040033092,0.985000297054964,0.4212588574347153,0.4903423105885578,0.0391256677683363,0.0146591565569035,0.0145869439630271,0.0147313691507798,0.7450173310225303,0.7433564413633738,0.7466782206816869,0.8585355285961872,0.8568746389370306,0.8601964182553438
2,LIGER_INMF-louvain,Embedding,6924.0,0.816061673447666,0.8711313515446819,0.523751827344373,0.9463997602924028,0.9698401101446696,1.0,0.3273436528309508,0.5117499041594828,0.4873443249699338,0.7131180522750962,0.6742122105655619,0.9819826035256995,0.9846005784182972,0.5763609041450437,0.5297288218360762,0.8814557907227971,0.8797904605595381,0.5030876401188483,0.8687038761387279,0.9128799632254982,1.0,0.3922825772420815,0.4796373004892371,0.5776693557970578,0.6266868812282617,0.6561735958404845,0.9531456587652704,0.9548400638974016,0.42827069081999,0.4782819865015401,0.330203004995059,0.0012276140958983,0.0017331022530329,0.0007221259387637,0.3373772385904101,0.4191218948584633,0.255632582322357,0.5252744078567302,0.6045638359329867,0.4459849797804737
3,LIGER_OINMF-louvain,Embedding,6924.0,0.8368783819792271,0.8826014318843063,0.6408265360018882,0.9228010321043766,0.9363007899780448,1.0,0.3546131124893741,0.444539060227877,0.4454580554987311,0.6374431131253884,0.6268108395712659,0.9585628028539984,0.9526355494982064,0.5408498922325842,0.51345707573167,0.8741074229100116,0.903372906222432,0.5573323444702143,0.8383827727962934,0.8747102634706986,1.0,0.4256767437709249,0.4528120291538892,0.5594604842742386,0.5721539122105501,0.6078542753558047,0.9414776596049996,0.9175916038916564,0.4866383317021396,0.4829648097418715,0.2604703985100594,0.0007221259387637,0.0005777007510109,0.0008665511265164,0.3859763142692085,0.4013575967648758,0.3705950317735413,0.5734402079722704,0.6305603697284806,0.5163200462160601
4,LIGER_UINMF-louvain,Embedding,6924.0,0.8193328685981575,0.8777599050910551,0.5668086972290196,0.9423039484951858,0.9659389142370296,1.0,0.3454622997331471,0.4554569692023732,0.4317865371617883,0.679424620846836,0.642554470949641,0.9816857407040096,0.9843326125565424,0.493751646669978,0.4968813427283526,0.8091414581342555,0.8660433195690388,0.4399929540764163,0.877235453842394,0.9324233262542524,1.0,0.3724693216394708,0.4180358476406173,0.5102311053332059,0.5997598390664814,0.6376294898322068,0.9558909059069453,0.9623334690310944,0.4484678458318035,0.5748851113989188,0.4452832953038702,0.0005777007510109,0.0004332755632582,0.0007221259387637,0.1422588099364529,0.1634893125361063,0.1210283073367995,0.2861785095320623,0.2999711149624494,0.2723859041016753
5,MaxFuse-louvain,Embedding,6924.0,0.8814846186560761,0.9241718827720352,0.5860137076627718,0.9471838298272408,0.9606082295517672,1.0,0.378295528346098,0.6819277178585064,0.6032239872553243,0.7551927375229505,0.7062852920280877,0.9733911631331504,0.972528143638024,0.5831056191151225,0.5474836414097096,0.7972590103695152,0.8591069496229271,0.6434170737446855,0.9420722051629616,0.9661969420502834,1.0,0.3362089647553362,0.5592550476299906,0.4998457676479363,0.7120934644061514,0.6732709832236459,0.9798082814582698,0.9857496898403028,0.4992244932423195,0.6313094082190699,0.135249766299855,0.0083766608896591,0.0089543616406701,0.0077989601386481,0.6985846331600232,0.7248700173310225,0.6722992489890237,0.8221403812824957,0.8467648757943386,0.7975158867706528
6,MultiMAP-louvain,Embedding,6924.0,0.6695646374896392,0.8076098457348262,0.2444258793440816,0.745234909850724,0.8348220633739152,1.0,0.3030313737950288,0.2739850936580202,0.2533281695927436,0.5956562365098048,0.5734048701939127,0.9685227777931767,0.977654031518179,0.4666737600323645,0.5155824090108627,0.6936614742198228,0.8678123983443262,0.1177365871877511,0.6884794374382756,0.7764253864699366,1.0,0.405248915059323,0.2357630833790511,0.2401688017790345,0.531209277679764,0.5308379477319607,0.9590069888620696,0.9676980126317992,0.4705488848886282,0.6042884345200266,0.1486439718044654,0.0025996533795493,0.0021663778162911,0.0030329289428076,0.5979924898902369,0.6191507798960139,0.5768341998844598,0.7720248411322934,0.8035817446562681,0.7404679376083189
7,pamona-louvain,Embedding,6924.0,0.6540308399910874,0.8624657948742092,0.161283920206121,0.3574647269921935,0.6370752066557185,1.0,0.407174125713523,0.095926841942669,0.0955899966529381,0.3105129554465646,0.3076372239359621,0.8794479885017927,0.8224499079379819,0.4994961542192053,0.4641325043346448,0.632022223232758,0.8595088383815352,0.0983777225227752,0.1201704844585639,0.2093918113773683,1.0,0.5144391280953938,0.0139813630821724,0.0130320246346699,0.056428464462408,0.0473921623258212,0.7305075004938973,0.5208692049293753,0.4896637295501376,0.485571577800443,0.5096601865562929,0.0,0.0,0.0,0.0691796649335644,0.0557481224725592,0.0826112073945696,0.1051415366839976,0.0879549393414211,0.1223281340265742
8,SCALEX-louvain,Embedding,6924.0,0.8734137445137301,0.900982076899497,0.6161034271703094,0.9333700537673082,0.9357424071157112,1.0,0.3141104289401259,0.579652838768773,0.5579813312437036,0.6930777746122692,0.669708981055398,0.9712622507046228,0.9685363539318136,0.5805842740337611,0.5099823085095992,0.8893449709605955,0.9429674196819536,0.5357498853234721,0.8837222734120186,0.9458303030887004,1.0,0.4239004707038564,0.4737154598604076,0.5294908865880561,0.5961563280987325,0.6143744393222585,0.951023454119605,0.9446851405940976,0.5120452600996832,0.5265598175837911,0.1355417141826368,0.0030329289428076,0.0034662045060658,0.0025996533795493,0.5761120739456961,0.6155401502021952,0.536683997689197,0.7564269208549972,0.7780184864240324,0.7348353552859619
9,SeuratV3_CCA-louvain,Embedding,6924.0,0.910936538882018,0.8864178689492513,0.826044708660077,0.952005726846015,0.963637486354544,1.0,0.1748842335227494,0.4059898783448238,0.3786279669448231,0.6530552314243946,0.6144595582524791,0.97200731423391,0.9727892561251242,0.6092809600678762,0.5419183893890254,0.7509053645865803,0.8510257217702273,0.2635461438699822,0.8648762862031173,0.9017002928139144,1.0,0.3377807019042912,0.3886407480794018,0.3381045450509254,0.6640683292026733,0.6287694719741221,0.9797640766183716,0.9854772845297604,0.3342692843902644,0.5292189118097576,0.0817725234042226,0.0041883304448295,0.0046216060080878,0.0037550548815713,0.6852975158867707,0.6494800693240901,0.7211149624494512,0.8250288850375505,0.7824956672443674,0.8675621028307337
10,SeuratV4_RPCA-louvain,Embedding,6924.0,0.9177060322448704,0.8845444899661382,0.7692122713250398,0.9603721453916904,0.9840222768806952,1.0,0.183043454054823,0.4855757248684857,0.4367251301114368,0.6664380178907097,0.6257600132548325,0.9686085276506174,0.9765713262087216,0.5938097854545213,0.5308506376902843,0.7592506044833844,0.8605703926637062,0.2754557768783905,0.8171666394374069,0.8957788068814629,1.0,0.3205935199903165,0.3085150138000709,0.2859591964789036,0.5931120972614046,0.5732302066518259,0.9720534116611208,0.980789216044344,0.4284279459203139,0.4649459713607441,0.1089543908427589,0.0054159445407279,0.0070768341998844,0.0037550548815713,0.6314269208549972,0.6441363373772386,0.6187175043327556,0.7903668399768919,0.7690641247833622,0.8116695551704217
11,SIMBA-louvain,Embedding,6924.0,0.9337718918869532,0.922325495888752,0.7168603543627547,0.967126534666103,0.9636541037906156,1.0,0.2631273891734573,0.6296962160549117,0.5606211043903909,0.7360575848507928,0.6906487168836438,0.9791295823410108,0.9811879689814712,0.5795309755407819,0.5068819132726363,0.9029560140253236,0.9408522910703052,0.6685437338429149,0.9387415693033038,0.960427373009482,1.0,0.3649214386484818,0.5142972866447438,0.5761981226762233,0.6594173506130109,0.6711308875656247,0.9628543751980776,0.9714725160468888,0.525388357005081,0.5639552476048784,0.1015450491446124,0.0038272674754477,0.0030329289428076,0.0046216060080878,0.5887492778740613,0.572212593876372,0.6052859618717504,0.7663200462160601,0.7715193529751588,0.7611207394569613
12,unionCom-louvain,Embedding,6924.0,0.762071496562982,0.8374069909208395,0.3925859855068921,0.9136414827865827,0.9440101024209384,1.0,0.2974029202767378,0.4619736661685987,0.3747653350191119,0.691560508513153,0.638136780376182,0.982044613091315,0.9893014045705943,0.3651478268904245,0.5054751036366745,0.8266283136308105,0.8740104894138132,0.349208538842739,0.8364968743574632,0.934315150973977,1.0,0.3495731438587262,0.4280266403088438,0.4582856012462923,0.6398864953848571,0.6419006536484211,0.9693321533254704,0.979545907979258,0.3135627410446675,0.5476189163085752,0.0444195684365134,0.0057047949162333,0.0060658578856152,0.0053437319468515,0.6532351242056614,0.6964182553437319,0.610051993067591,0.810369728480647,0.8320335066435587,0.7887059503177354
13,uniPort-louvain,Embedding,6924.0,0.8980689549897181,0.9358847068990074,0.5612488266682749,0.8748672470117451,0.91936189211248,1.0,0.4203664711977067,0.5203429897695566,0.5190922442556647,0.6506918918258607,0.643227215117985,0.96687308520076,0.9684644631366466,0.505676978384988,0.4826613277584329,0.8990558686322382,0.9152572475630948,0.7869099880402977,0.9673568219886968,0.9644755580285448,1.0,0.2875789100911581,0.6069337941957483,0.5519216192314148,0.7362173224240242,0.6888602032540792,0.9776289416390592,0.981012303497122,0.5754166654076627,0.5078010252070868,0.0796742698893758,0.0079433853264009,0.0077989601386481,0.0080878105141536,0.6884748700173311,0.67157712305026,0.7053726169844021,0.81946851530907,0.8061813980358175,0.8327556325823223
14,bindSC-louvain,Embedding,6924.0,0.8462098160080612,0.912139030059231,0.4073054624808607,0.7714112531948274,0.8544547484342965,1.0,0.425867514174139,0.362066207309505,0.4301477160157215,0.5565149253826351,0.5674773024588127,0.9440662282956288,0.933293834398696,0.3480965178585018,0.4202319769035513,0.7528944362110994,0.8866975119861306,0.248605223686233,0.8220291414508683,0.8908373021062747,1.0,0.410935760196554,0.3307752434101316,0.3271859994997856,0.5831406863656887,0.5859224482811626,0.9630325636492744,0.9771955445191388,0.5623980639771113,0.5834838598813767,0.1218321574069346,0.0025996533795493,0.0028885037550548,0.0023108030040439,0.4617995378393992,0.4454072790294627,0.4781917966493356,0.6414644714038128,0.6409589832466782,0.6419699595609474
15,scglue-louvain,Embedding,6924.0,0.8944912421022644,0.9118989050747532,0.5985935858349182,0.9625037762129458,0.9668154017417352,1.0,0.2960829573564473,0.6228492757391895,0.5541523628334588,0.7540742250076279,0.7033898500199484,0.9815332004617296,0.9841018659274458,0.5201781928150547,0.4933616274001383,0.8756178520914528,0.9221994123212396,0.6172323631905224,0.9386288065676266,0.9522906599803376,1.0,0.3514406463884743,0.6951894493788562,0.6475670191521363,0.7563879128954135,0.7262977513206479,0.9796573283150608,0.9843591925885328,0.4421720138668355,0.4888383640701672,0.0386046712161852,0.013792605430387,0.0148757943385326,0.0127094165222414,0.7416233391103408,0.7404679376083189,0.7427787406123628,0.8607019064124783,0.8626516464471404,0.8587521663778163
16,LIGER_INMF-louvain,Embedding,6924.0,0.816061673447666,0.8711313515446819,0.523751827344373,0.9463997602924028,0.9698401101446696,1.0,0.3273436528309508,0.5117499041594828,0.4873443249699338,0.7131180522750962,0.6742122105655619,0.9819826035256995,0.9846005784182972,0.5763609041450437,0.5297288218360762,0.8814557907227971,0.8797904605595381,0.5030876401188483,0.8687038761387279,0.9128799632254982,1.0,0.3922825772420815,0.4796373004892371,0.5776693557970578,0.6266868812282617,0.6561735958404845,0.9531456587652704,0.9548400638974016,0.42827069081999,0.4782819865015401,0.330203004995059,0.0012276140958983,0.0017331022530329,0.0007221259387637,0.3373772385904101,0.4191218948584633,0.255632582322357,0.5252744078567302,0.6045638359329867,0.4459849797804737
17,LIGER_OINMF-louvain,Embedding,6924.0,0.8368783819792271,0.8826014318843063,0.6408265360018882,0.9228010321043766,0.9363007899780448,1.0,0.3546131124893741,0.444539060227877,0.4454580554987311,0.6374431131253884,0.6268108395712659,0.9585628028539984,0.9526355494982064,0.5408498922325842,0.51345707573167,0.8741074229100116,0.903372906222432,0.5573323444702143,0.8383827727962934,0.8747102634706986,1.0,0.4256767437709249,0.4528120291538892,0.5594604842742386,0.5721539122105501,0.6078542753558047,0.9414776596049996,0.9175916038916564,0.4866383317021396,0.4829648097418715,0.2604703985100594,0.0007221259387637,0.0005777007510109,0.0008665511265164,0.3859763142692085,0.4013575967648758,0.3705950317735413,0.5734402079722704,0.6305603697284806,0.5163200462160601
18,LIGER_UINMF-louvain,Embedding,6924.0,0.8193328685981575,0.8777599050910551,0.5668086972290196,0.9423039484951858,0.9659389142370296,1.0,0.3454622997331471,0.4554569692023732,0.4317865371617883,0.679424620846836,0.642554470949641,0.9816857407040096,0.9843326125565424,0.493751646669978,0.4968813427283526,0.8091414581342555,0.8660433195690388,0.4399929540764163,0.877235453842394,0.9324233262542524,1.0,0.3724693216394708,0.4180358476406173,0.5102311053332059,0.5997598390664814,0.6376294898322068,0.9558909059069453,0.9623334690310944,0.4484678458318035,0.5748851113989188,0.4452832953038702,0.0005777007510109,0.0004332755632582,0.0007221259387637,0.1422588099364529,0.1634893125361063,0.1210283073367995,0.2861785095320623,0.2999711149624494,0.2723859041016753
19,MaxFuse-louvain,Embedding,6924.0,0.8744402531953833,0.9216632831064848,0.6008485918125729,0.9568905458204362,0.9700393206432631,1.0,0.3757792308546372,0.6083297526557059,0.5443737739244139,0.7329878481351425,0.6948088487308283,0.9734777885563178,0.9728235381762615,0.5691018007921033,0.5538929301823045,0.8199257361779035,0.8426958660914006,0.6347753831484513,0.9448214135474786,0.9707590810227856,1.0,0.3483768471416453,0.5762452717270624,0.5332018588795823,0.7143297321488611,0.6873076031471226,0.9760763405875188,0.9808990168170038,0.4926054299663207,0.6352269411095629,0.1417372606304781,0.0064991334488734,0.0072212593876372,0.0057770075101097,0.6943963027151936,0.7293471981513576,0.6594454072790294,0.8134748700173311,0.848209127671866,0.7787406123627961
20,MultiMAP-louvain,Embedding,6924.0,0.6695646374896392,0.8076098457348262,0.2444258793440816,0.745234909850724,0.8348220633739152,1.0,0.3030313737950288,0.2739850936580202,0.2533281695927436,0.5956562365098048,0.5734048701939127,0.9685227777931767,0.977654031518179,0.4666737600323645,0.5155824090108627,0.6936614742198228,0.8678123983443262,0.1177365871877511,0.6884794374382756,0.7764253864699366,1.0,0.405248915059323,0.2357630833790511,0.2401688017790345,0.531209277679764,0.5308379477319607,0.9590069888620696,0.9676980126317992,0.4705488848886282,0.6042884345200266,0.1486439718044654,0.0025996533795493,0.0021663778162911,0.0030329289428076,0.5979924898902369,0.6191507798960139,0.5768341998844598,0.7720248411322934,0.8035817446562681,0.7404679376083189
21,pamona-louvain,Embedding,6924.0,0.6540308399910874,0.8624657948742092,0.161283920206121,0.3574647269921935,0.6370752066557185,1.0,0.407174125713523,0.095926841942669,0.0955899966529381,0.3105129554465646,0.3076372239359621,0.8794479885017927,0.8224499079379819,0.4994961542192053,0.4641325043346448,0.632022223232758,0.8595088383815352,0.0983777225227752,0.1201704844585639,0.2093918113773683,1.0,0.5144391280953938,0.0139813630821724,0.0130320246346699,0.056428464462408,0.0473921623258212,0.7305075004938973,0.5208692049293753,0.4896637295501376,0.485571577800443,0.5096601865562929,0.0,0.0,0.0,0.0691796649335644,0.0557481224725592,0.0826112073945696,0.1051415366839976,0.0879549393414211,0.1223281340265742
22,SCALEX-louvain,Embedding,6924.0,0.8734137445137301,0.900982076899497,0.6161034271703094,0.9333700537673082,0.9357424071157112,1.0,0.3141104289401259,0.579652838768773,0.5579813312437036,0.6930777746122692,0.669708981055398,0.9712622507046228,0.9685363539318136,0.5805842740337611,0.5099823085095992,0.8893449709605955,0.9429674196819536,0.5357498853234721,0.8837222734120186,0.9458303030887004,1.0,0.4239004707038564,0.4737154598604076,0.5294908865880561,0.5961563280987325,0.6143744393222585,0.951023454119605,0.9446851405940976,0.5120452600996832,0.5265598175837911,0.1355417141826368,0.0030329289428076,0.0034662045060658,0.0025996533795493,0.5761120739456961,0.6155401502021952,0.536683997689197,0.7564269208549972,0.7780184864240324,0.7348353552859619
23,SeuratV3_CCA-louvain,Embedding,6924.0,0.910936538882018,0.8864178689492513,0.826044708660077,0.952005726846015,0.963637486354544,1.0,0.1748842335227494,0.4059898783448238,0.3786279669448231,0.6530552314243946,0.6144595582524791,0.97200731423391,0.9727892561251242,0.6092809600678762,0.5419183893890254,0.7509053645865803,0.8510257217702273,0.2635461438699822,0.8648762862031173,0.9017002928139144,1.0,0.3377807019042912,0.3886407480794018,0.3381045450509254,0.6640683292026733,0.6287694719741221,0.9797640766183716,0.9854772845297604,0.3342692843902644,0.5292189118097576,0.0817725234042226,0.0041883304448295,0.0046216060080878,0.0037550548815713,0.6852975158867707,0.6494800693240901,0.7211149624494512,0.8250288850375505,0.7824956672443674,0.8675621028307337
24,SeuratV4_RPCA-louvain,Embedding,6924.0,0.9177060322448704,0.8845444899661382,0.7692122713250398,0.9603721453916904,0.9840222768806952,1.0,0.183043454054823,0.4855757248684857,0.4367251301114368,0.6664380178907097,0.6257600132548325,0.9686085276506174,0.9765713262087216,0.5938097854545213,0.5308506376902843,0.7592506044833844,0.8605703926637062,0.2754557768783905,0.8171666394374069,0.8957788068814629,1.0,0.3205935199903165,0.3085150138000709,0.2859591964789036,0.5931120972614046,0.5732302066518259,0.9720534116611208,0.980789216044344,0.4284279459203139,0.4649459713607441,0.1089543908427589,0.0054159445407279,0.0070768341998844,0.0037550548815713,0.6314269208549972,0.6441363373772386,0.6187175043327556,0.7903668399768919,0.7690641247833622,0.8116695551704217
25,SIMBA-louvain,Embedding,6924.0,0.9286193938067424,0.919265676694997,0.6865925659134415,0.967817502210817,0.9695268027066064,1.0,0.2553210259358167,0.5756023259046629,0.5337144940570918,0.7345709266377034,0.6867156620298221,0.9795722356754928,0.9826760180521996,0.5809796677972658,0.5147561116129965,0.901667623074056,0.9432835691328832,0.7162695499812681,0.9258968292004636,0.9517044208546992,1.0,0.3542858357147072,0.5112726974679708,0.5681189910650079,0.6507358889614494,0.6637342361166647,0.9619386152594662,0.9683238543304548,0.5189734598783095,0.5611888834806433,0.1012692875624799,0.0036828422876949,0.0031773541305603,0.0041883304448295,0.5969815135759676,0.5895436164067013,0.604419410745234,0.7666088965915656,0.7790294627383015,0.7541883304448296
26,unionCom-louvain,Embedding,6924.0,0.7501183578722649,0.8286487697283118,0.410123951485275,0.9145097279840788,0.9428246761820088,1.0,0.2975432886580363,0.4862900972636869,0.4164595779573742,0.6948938168353225,0.6490338448224784,0.9814935384639224,0.9887568023324655,0.4123136785786039,0.5102452209929272,0.7819905825578541,0.8612272681535224,0.3178795326286352,0.8632082910158612,0.9256613440392536,1.0,0.3460379522735482,0.3913289595163667,0.3863349995481517,0.6329022415657675,0.6237497428117056,0.970438660801617,0.9800729363904256,0.2801724623800105,0.5724987931714954,0.0432946518293356,0.0047660311958405,0.0047660311958405,0.0047660311958405,0.670999422299249,0.7040727902946274,0.6379260543038706,0.8238012709416522,0.8388214904679376,0.8087810514153668
27,uniPort-louvain,Embedding,6924.0,0.8980689549897181,0.9358847068990074,0.5612488266682749,0.8748672470117451,0.91936189211248,1.0,0.4203664711977067,0.5203429897695566,0.5190922442556647,0.6506918918258607,0.643227215117985,0.96687308520076,0.9684644631366466,0.505676978384988,0.4826613277584329,0.8990558686322382,0.9152572475630948,0.7869099880402977,0.9673568219886968,0.9644755580285448,1.0,0.2875789100911581,0.6069337941957483,0.5519216192314148,0.7362173224240242,0.6888602032540792,0.9776289416390592,0.981012303497122,0.5754166654076627,0.5078010252070868,0.0796742698893758,0.0079433853264009,0.0077989601386481,0.0080878105141536,0.6884748700173311,0.67157712305026,0.7053726169844021,0.81946851530907,0.8061813980358175,0.8327556325823223
28,bindSC-louvain,Embedding,6924.0,0.8462098160080612,0.912139030059231,0.4073054624808607,0.7714112531948274,0.8544547484342965,1.0,0.425867514174139,0.362066207309505,0.4301477160157215,0.5565149253826351,0.5674773024588127,0.9440662282956288,0.933293834398696,0.3480965178585018,0.4202319769035513,0.7528944362110994,0.8866975119861306,0.248605223686233,0.8220291414508683,0.8908373021062747,1.0,0.410935760196554,0.3307752434101316,0.3271859994997856,0.5831406863656887,0.5859224482811626,0.9630325636492744,0.9771955445191388,0.5623980639771113,0.5834838598813767,0.1218321574069346,0.0025996533795493,0.0028885037550548,0.0023108030040439,0.4617995378393992,0.4454072790294627,0.4781917966493356,0.6414644714038128,0.6409589832466782,0.6419699595609474
29,scglue-louvain,Embedding,6924.0,0.8909417513440276,0.9058023147687324,0.5955933070670129,0.9653673143797136,0.967353655862703,1.0,0.3011092704634749,0.6508098386436229,0.5812827895810386,0.7648837910191134,0.7151673766673189,0.98160119257192,0.9858772390831428,0.5277106410294887,0.4953651912110912,0.8854436109736855,0.9307510259277384,0.5878823064761737,0.9276900311931596,0.9550776614008444,1.0,0.3490897652684184,0.6344565113584494,0.6003159538736653,0.7431095149592765,0.7111991029169215,0.9805689234696396,0.9829681459437238,0.4192483524003612,0.4894414154792423,0.0380759986864066,0.0150924321201617,0.0160311958405545,0.0141536683997689,0.7495667244367418,0.7484113229347198,0.7507221259387638,0.8627960716348931,0.8577411900635471,0.8678509532062392
30,LIGER_INMF-louvain,Embedding,6924.0,0.816061673447666,0.8711313515446819,0.523751827344373,0.9463997602924028,0.9698401101446696,1.0,0.3273436528309508,0.5117499041594828,0.4873443249699338,0.7131180522750962,0.6742122105655619,0.9819826035256995,0.9846005784182972,0.5763609041450437,0.5297288218360762,0.8814557907227971,0.8797904605595381,0.5030876401188483,0.8687038761387279,0.9128799632254982,1.0,0.3922825772420815,0.4796373004892371,0.5776693557970578,0.6266868812282617,0.6561735958404845,0.9531456587652704,0.9548400638974016,0.42827069081999,0.4782819865015401,0.330203004995059,0.0012276140958983,0.0017331022530329,0.0007221259387637,0.3373772385904101,0.4191218948584633,0.255632582322357,0.5252744078567302,0.6045638359329867,0.4459849797804737
31,LIGER_OINMF-louvain,Embedding,6924.0,0.8368783819792271,0.8826014318843063,0.6408265360018882,0.9228010321043766,0.9363007899780448,1.0,0.3546131124893741,0.444539060227877,0.4454580554987311,0.6374431131253884,0.6268108395712659,0.9585628028539984,0.9526355494982064,0.5408498922325842,0.51345707573167,0.8741074229100116,0.903372906222432,0.5573323444702143,0.8383827727962934,0.8747102634706986,1.0,0.4256767437709249,0.4528120291538892,0.5594604842742386,0.5721539122105501,0.6078542753558047,0.9414776596049996,0.9175916038916564,0.4866383317021396,0.4829648097418715,0.2604703985100594,0.0007221259387637,0.0005777007510109,0.0008665511265164,0.3859763142692085,0.4013575967648758,0.3705950317735413,0.5734402079722704,0.6305603697284806,0.5163200462160601
32,LIGER_UINMF-louvain,Embedding,6924.0,0.8193328685981575,0.8777599050910551,0.5668086972290196,0.9423039484951858,0.9659389142370296,1.0,0.3454622997331471,0.4554569692023732,0.4317865371617883,0.679424620846836,0.642554470949641,0.9816857407040096,0.9843326125565424,0.493751646669978,0.4968813427283526,0.8091414581342555,0.8660433195690388,0.4399929540764163,0.877235453842394,0.9324233262542524,1.0,0.3724693216394708,0.4180358476406173,0.5102311053332059,0.5997598390664814,0.6376294898322068,0.9558909059069453,0.9623334690310944,0.4484678458318035,0.5748851113989188,0.4452832953038702,0.0005777007510109,0.0004332755632582,0.0007221259387637,0.1422588099364529,0.1634893125361063,0.1210283073367995,0.2861785095320623,0.2999711149624494,0.2723859041016753
33,MaxFuse-louvain,Embedding,6924.0,0.8760664899294625,0.92474335393317,0.5699640060398103,0.9572867572796034,0.9640836500168356,1.0,0.3845093685623459,0.6690197937345473,0.5934312392022408,0.7512753087890798,0.706110295775521,0.9722793088294348,0.9724381055246604,0.5471327383842156,0.5450635549794562,0.8082991957840016,0.8561851548765036,0.6376256317668412,0.9546554109565571,0.969637160543892,1.0,0.344999239517104,0.5565025397541079,0.5069317079702231,0.7039365657140872,0.6737783895698172,0.9782235416206052,0.9807982032390058,0.4966731498366224,0.6369090091762402,0.1437889889602754,0.0064269208549971,0.0075101097631426,0.0053437319468515,0.6860196418255344,0.7141825534373195,0.6578567302137492,0.8186741767764298,0.8424321201617562,0.7949162333911034
