,method,Batch_ASW_batch-RNA,graph_connectivity_batch-RNA,graph_connectivity_label-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,AMI-RNA,graph_cLISI-RNA,isolated_labels_ASW-RNA,Batch_ASW_batch-ATAC,graph_connectivity_batch-ATAC,graph_connectivity_label-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,AMI-ATAC,graph_cLISI-ATAC,isolated_labels_ASW-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,Output,nCell
0,bindSC,0.950958613887022,0.9969847676025344,0.4731926163728224,1.0,0.8947247608113387,0.0001157645630275,0.0008684877171169,0.5114928263295834,0.4890475722696141,0.9439878989193506,0.9952741500092908,0.4851127366824899,1.0,0.89476337136805,0.0002101849803321,-0.0006909511529775,0.5080690973980365,0.4802646766517657,0.349805765951615,0.001128474881634,0.0013907007719488,0.0008662489913192,0.2318007398196204,0.2381113732760993,0.2254901063631415,Embedding,10587.0
1,GLUE,0.9788283229229304,0.9980200889387228,0.6769089231084078,1.0,0.8862721911582065,0.0001230720451425,-0.0005849323669901,0.5113959553102041,0.4934358109747305,0.9720310335949762,0.9982656223077246,0.6674283547249504,1.0,0.8894362181238022,0.0008536067595149,-0.0005669948144174,0.5151269052044146,0.482493881067473,0.1432061452532004,0.0074339404556039,0.0078233439504719,0.0070445369607359,0.2295513640071765,0.2342660765185191,0.2248366514958337,Embedding,10587.0
2,LIGER_INMF,0.8933227441137583,0.9955342018773524,0.662906893284686,1.0,0.892559508266874,-0.0002622670291009,0.0006775115878424,0.5104599465229166,0.4793690956426927,0.9361732175086872,0.998789505298931,0.679376681711485,1.0,0.8891260764730127,-3.524502323935012e-05,0.000335926449312,0.5147844703869615,0.4483205234653704,0.4599036882441489,0.001079624938232,0.0011400087916389,0.0010192410848251,0.2264391584463626,0.2183756980544935,0.2345026188382317,Embedding,10587.0
3,LIGER_OINMF,0.9299255015857092,0.9969327677265932,0.6383787484456607,1.0,0.902437275200304,-0.0005356409692137,-9.764054582167416e-05,0.5072270342599742,0.4717828028040148,0.9489397863580146,0.9974259102686072,0.6771335656409507,1.0,0.8892035415462249,0.0002748749589827,9.256865159518826e-05,0.5117560342212364,0.4549637455438069,0.4775661801239189,0.0008516428199459,0.0005729460914189,0.0011303395484728,0.2230964952507845,0.2166474643674901,0.2295455261340789,Embedding,10587.0
4,LIGER_UINMF,0.8969713814087414,0.9980533998543316,0.6867620906943473,1.0,0.8965008803743045,-0.0005001714837621,0.0003300231303252,0.5095842254514825,0.4654292395181737,0.9149819924220396,0.9987717454256364,0.644796798459162,1.0,0.8931374394052987,-0.0003211653375652,-0.0010539150350375,0.5075162613899541,0.4597725486767081,0.4681858982448678,0.0006558460114042,0.0006653534174031,0.0006463386054052,0.228585280405547,0.2351470129352086,0.2220235478758854,Embedding,10587.0
5,MaxFuse-louvain,,,,,,0.0010754019982735,-0.0002063367870945,0.4913891141140659,0.5043924376163741,,,,,,0.0001604303302086,-0.0001901484795428,0.4835471761291242,0.4915943357243535,0.3433716509183347,0.000944554642486,0.000944554642486,0.000944554642486,0.2144139038443374,0.2168697459148011,0.2119580617738736,Embedding,10587.0
6,MultiMAP,0.9220792621202952,0.9328175021730576,0.2185636235322286,1.0,0.9026254825910268,-0.0004861547431399,0.0012478669521781,0.5034648336431398,0.4621124795707433,0.9156544834334638,0.9075964308778988,0.1966276857913776,1.0,0.9026847288861872,0.0003094776963468,0.0001036930987276,0.5057176536318421,0.466213858997728,0.3597244751872123,0.0012618926041611,0.0018404579429878,0.0006833272653344,0.2284804966279008,0.2346776598067859,0.2222833334490157,Embedding,10587.0
7,pamona,0.8857828688590222,0.7864218131710622,0.2521581590344845,1.0,0.914383126122184,-0.000715633325486,-0.0005705417617478,0.4956907205815963,0.4830916161188838,0.7889921316070165,0.232575167147611,0.0777665888876386,1.0,0.923497687451826,-8.770021972240805e-05,-3.83335070194885e-05,0.4907197632660156,0.4793678982256306,0.5055479961942044,0.0004956654188414,0.0004183847462638,0.0005729460914189,0.2359624901365355,0.237944470586863,0.2339805096862079,Embedding,10587.0
8,SCALEX-louvain,,,,,,-5.0303918997326144e-05,-0.0002127339602627,0.4856185371660501,0.5007551487435998,,,,,,-0.0002058258620391,-0.0002240269430047,0.482738454377859,0.4952798470135576,0.3541369642060183,0.0002833663927458,0.0002833663927458,0.0002833663927458,0.2148861811655804,0.2159251912723151,0.2138471710588457,Embedding,10587.0
9,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
10,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
11,SIMBA-louvain,,,,,,-6.163430868389347e-05,0.0003907596385027,0.4830971004096807,0.4956397059030349,,,,,,0.0004580673953174,-0.0002668484681032,0.4965232018821194,0.4859522398503014,0.1770200811496183,0.0008973269103617,0.0005667327854916,0.0012279210352318,0.2113441012562577,0.2064796448474544,0.2162085576650609,Embedding,10587.0
12,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
13,GLUE,0.9772190774538978,0.9987845862585892,0.6817340526735665,1.0,0.8849319734540563,-6.985526654276609e-05,-0.0004980129202242,0.5165063928185117,0.4921060930924207,0.971687660613236,0.9989582921581088,0.6665125113667597,1.0,0.8950450090169374,-0.0009203343501257,-0.0007231793746268,0.5091710319822926,0.4818502785201908,0.1381181916452104,0.0069645817486037,0.0060419676282377,0.0078871958689697,0.2318133494431914,0.2300482613103254,0.2335784375760574,Embedding,10587.0
14,MaxFuse-louvain,,,,,,0.0005684113234376,-0.0003005436191774,0.4912335729446717,0.5035978423250526,,,,,,0.0003228965879743,-0.0001289452289007,0.4884030651129909,0.4900143232646869,0.35448520125906,0.0008500991782374,0.0007556437139888,0.000944554642486,0.2153112307546991,0.2180032114857844,0.2126192500236138,Embedding,10587.0
15,MultiMAP,0.9220792621202952,0.9328175021730576,0.2185636235322286,1.0,0.9026254825910268,-0.0004861547431399,0.0012478669521781,0.5034648336431398,0.4621124795707433,0.9156544834334638,0.9075964308778988,0.1966276857913776,1.0,0.9026847288861872,0.0003094776963468,0.0001036930987276,0.5057176536318421,0.466213858997728,0.3597244751872123,0.0012618926041611,0.0018404579429878,0.0006833272653344,0.2284804966279008,0.2346776598067859,0.2222833334490157,Embedding,10587.0
16,SCALEX-louvain,,,,,,-5.0303918997326144e-05,-0.0002127339602627,0.4856185371660501,0.5007551487435998,,,,,,-0.0002058258620391,-0.0002240269430047,0.482738454377859,0.4952798470135576,0.3541369642060183,0.0002833663927458,0.0002833663927458,0.0002833663927458,0.2148861811655804,0.2159251912723151,0.2138471710588457,Embedding,10587.0
17,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
18,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
19,SIMBA-louvain,,,,,,0.000206084459452,-7.1868326310964125e-06,0.4839871359661276,0.4963696534643904,,,,,,0.0004535767833883,-0.00028544124802,0.4893816534940658,0.4843168517667822,0.1786427710669075,0.0014168319637291,0.0010390101067346,0.0017946538207235,0.2137527155945971,0.2100689524889014,0.2174364787002928,Embedding,10587.0
20,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
21,GLUE,0.9776712659550756,0.9990289979198552,0.6657061609753397,1.0,0.8887540958091388,0.0004508958377175,-0.0001427287607379,0.5126365032245442,0.4914480980307786,0.9687852055950912,0.9979569109918568,0.6713473587127633,1.0,0.8929915485427136,0.0005171344125883,-0.0006237058991307,0.5074310513507345,0.4821489715351594,0.1286551425296366,0.0092796920535738,0.0101401551670224,0.0084192289401252,0.237280896587517,0.2385752643872355,0.2359865287877987,Embedding,10587.0
22,pamona,0.8857828688567653,0.7864218131710622,0.2521581590344845,1.0,0.9155137740595723,-0.000715633325486,-0.0005705417617478,0.4961351007823896,0.4830916161160471,0.788992131627317,0.232575167147611,0.0777665888876386,1.0,0.9247958592026682,-8.770021972240805e-05,-3.83335070194885e-05,0.4887110125985061,0.479367898216005,0.5055479961942044,0.0004956654188414,0.0004183847462638,0.0005729460914189,0.2359624901365355,0.237944470586863,0.2339805096862079,Embedding,10587.0
23,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
24,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
25,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
26,GLUE,0.9790044126412252,0.9985190492179096,0.6765605389974271,1.0,0.8856017331074812,0.000399052458909,-0.0002638832172521,0.5178156775278762,0.4932186481353108,0.9719936338335684,0.9981202596375554,0.6650613086489181,1.0,0.8896203663586213,-0.0002252551437892,-0.0011935584155785,0.5205386352297252,0.4820305892950838,0.1412559336441287,0.0069957200697745,0.0064108170996456,0.0075806230399033,0.2298346917050161,0.2253966828287163,0.2342727005813159,Embedding,10587.0
27,pamona,0.8857828688567653,0.7864218131710622,0.2521581590344845,1.0,0.9155137740595723,-0.000715633325486,-0.0005705417617478,0.4961351007823896,0.4830916161160471,0.788992131627317,0.232575167147611,0.0777665888876386,1.0,0.9247958592026682,-8.770021972240805e-05,-3.83335070194885e-05,0.4887110125985061,0.479367898216005,0.5055479961942044,0.0004956654188414,0.0004183847462638,0.0005729460914189,0.2359624901365355,0.237944470586863,0.2339805096862079,Embedding,10587.0
28,SeuratV3_CCA,0.9697809881906212,0.9967572715700852,0.619401976553453,1.0,0.8983865039840588,-0.0001479962194038,-0.0009488691075743,0.5103642463309916,0.4869145725358437,0.9749254057624192,0.9986890690595284,0.6684571963322365,1.0,0.8953358685152271,-0.0004183430050993,-0.0005042139516247,0.5108981117740053,0.4913004919799864,0.3314636728722952,0.0015222568398906,0.0015257190175234,0.0015187946622578,0.2200894650748457,0.2358923956282768,0.2042865345214146,Embedding,10587.0
29,SeuratV4_RPCA,0.9708967402989298,0.9956701738869894,0.6252711019711791,1.0,0.8966704943027154,-0.0003502706075656,-0.0005967751187334,0.502839067661296,0.4869606562630909,0.9696784425394444,0.9926057746328438,0.6193968484862937,1.0,0.8944052249198929,-0.0007703917298038,-0.0008399281446582,0.5048101747233481,0.4906188725288964,0.3113406511300876,0.002622264927655,0.0041358934884462,0.0011086363668639,0.2146257070981214,0.2333200839630019,0.1959313302332408,Embedding,10587.0
30,uniPort,0.9761619482468472,0.9987921989535824,0.6785950412068642,1.0,0.8877775905588021,-0.0007322185796323,0.0006022714928239,0.5226653864696592,0.4893628856210751,0.9687022491501748,0.9981928732456046,0.6658733589619239,1.0,0.8919744961493482,-0.0006457731746674,-0.0002249084233941,0.5022611860060435,0.4939615478729711,0.3028923567310045,0.0027881008323196,0.0023407288101527,0.0032354728544864,0.2305332991403265,0.225650428750423,0.2354161695302299,Embedding,10587.0
