,method,Output,nCell,graph_connectivity,graph_connectivity.l1,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,paired_size,unpaired_size
0,MIDAS-louvain,Embedding,5000.0,0.8799777618010792,0.920552234046394,0.3229647528765876,0.3593687067297763,0.6052581974367921,0.6228667707067427,0.9759910534344932,0.9798419146535388,c10k,c5k
1,multigrate-louvain,Embedding,5000.0,0.8438988745212964,0.8766124994784852,0.4817754184061157,0.4349253720890269,0.7299404428190011,0.6844767240801357,0.9856220705315172,0.992598660819561,c10k,c5k
2,sciPENN-louvain,Embedding,5000.0,0.8314473066371657,0.8982558050222744,0.3686215187098385,0.3357532407075488,0.6777810801710757,0.6503723202437736,0.9856833207821988,0.9954567319296168,c10k,c5k
3,scmomat-louvain,Embedding,5000.0,0.8060379965328127,0.8886598989385301,0.3994792099904861,0.4173598215218095,0.6649899801966455,0.6574745428854502,0.9763072937704008,0.9757040910191878,c10k,c5k
4,scVAEIT-louvain,Embedding,5000.0,0.7765425537496466,0.8935303054822349,0.3822470305104857,0.4117547874475009,0.6499127911388397,0.6594678818149623,0.9774263964492302,0.9856527406863071,c10k,c5k
5,StabMap-louvain,Embedding,5000.0,0.9308058667019948,0.9519074769179252,0.5248825111550642,0.5446372870499016,0.7127113956565722,0.7056397450554377,0.9836423886536244,0.9931542821779036,c10k,c5k
6,totalVI-louvain,Embedding,5000.0,0.9201430775348882,0.9185869854315382,0.5269745810864327,0.5500897814224851,0.7269068669109991,0.7283407530324196,0.9796953449341664,0.98518510049845,c10k,c5k
7,MIDAS-louvain,Embedding,5000.0,0.9036918942089052,0.9348192234189294,0.3122249474997485,0.3460979357276592,0.6221089133885896,0.621977067791412,0.9766076282223204,0.9825395348738422,c20k,c5k
8,multigrate-louvain,Embedding,5000.0,0.8726565596531267,0.8930941539194821,0.5252782548354031,0.4805953770404639,0.7441332900485281,0.7106674698208864,0.9880210938525432,0.9934572427809188,c20k,c5k
9,sciPENN-louvain,Embedding,5000.0,0.8259947110046837,0.9001574210700293,0.3284805118139722,0.3172830204086773,0.6622564898025226,0.6441949898481291,0.9856903252869548,0.9945608260091444,c20k,c5k
10,scmomat-louvain,Embedding,5000.0,0.8101268380763063,0.8954081118982897,0.4136665080646576,0.4687533013991187,0.6503029711708612,0.6646045101747938,0.9747155620525384,0.9749186436847672,c20k,c5k
11,scVAEIT-louvain,Embedding,5000.0,0.791576731884378,0.8575672676393286,0.4608593142381063,0.4593181029316331,0.683758011475483,0.6788012236635167,0.9775245299083338,0.9864998750188524,c20k,c5k
12,StabMap-louvain,Embedding,5000.0,0.9089986209875256,0.9474410658373834,0.4387977398434257,0.5001981165545638,0.708382465124368,0.7216252548259274,0.9820231773608292,0.9904131772794768,c20k,c5k
13,totalVI-louvain,Embedding,5000.0,0.9232659919526024,0.955397289497682,0.54386944891784,0.5297568870713172,0.7490387859382621,0.7334622832757306,0.9814963947910208,0.9880674255504742,c20k,c5k
14,MIDAS-louvain,Embedding,5000.0,0.8666458376902795,0.8836775218208563,0.3001220967825687,0.3221235084537829,0.6090977399957118,0.615752531371316,0.975588492013972,0.9799899393115528,c3k,c5k
15,multigrate-louvain,Embedding,5000.0,0.8012225466424323,0.8347400696685405,0.4645741640686965,0.4324259717654704,0.7221522465966456,0.6894370239894234,0.9850635444877732,0.9948039312942548,c3k,c5k
16,sciPENN-louvain,Embedding,5000.0,0.8258857065411367,0.8691466474784759,0.4444539504648895,0.4432186845800528,0.6899963260502088,0.6855196196289226,0.98236159035205,0.9918564679548282,c3k,c5k
17,scmomat-louvain,Embedding,5000.0,0.7667353058784427,0.8890259189263441,0.31841801405286,0.3901784956763747,0.6022623122220628,0.6255791500423814,0.9741532052508004,0.9742300089624396,c3k,c5k
18,scVAEIT-louvain,Embedding,5000.0,0.7289800954136566,0.8527663931197503,0.274046707272241,0.3143840311237654,0.5964094478902477,0.6132772219769965,0.9755064545283064,0.9772412739335564,c3k,c5k
19,StabMap-louvain,Embedding,5000.0,0.917780056788708,0.9365940480371474,0.4999895267300021,0.5502805861037108,0.7117438076669746,0.734652950002704,0.982185143798152,0.9910797724635712,c3k,c5k
20,totalVI-louvain,Embedding,5000.0,0.9140498061288912,0.9398868872418908,0.5231452230562528,0.6027860712676002,0.7381161136054405,0.7563404996371051,0.977603984142198,0.9826431273306104,c3k,c5k
21,MIDAS-louvain,Embedding,5000.0,0.8825137708657067,0.8949064503994226,0.3362401329704123,0.3463030589222099,0.62470147836829,0.6344469202237788,0.9760047283346712,0.9804482817815866,c5k,c5k
22,multigrate-louvain,Embedding,5000.0,0.8324612253307556,0.9057622002572592,0.5126189130654781,0.4959539656067875,0.7365944790341749,0.707962935716979,0.9835173677418182,0.9924393442237788,c5k,c5k
23,sciPENN-louvain,Embedding,5000.0,0.8269262813352056,0.8746320004668652,0.4071159086707854,0.387396350239927,0.6973074133959093,0.6728001262562435,0.985824993697909,0.9950123069513276,c5k,c5k
24,scmomat-louvain,Embedding,5000.0,0.8125131314145908,0.88846186210151,0.4101067821352745,0.3948363664072117,0.6480475909416993,0.6267781176890126,0.9760454381241306,0.9715182064174293,c5k,c5k
25,scVAEIT-louvain,Embedding,5000.0,0.7036582497782016,0.871642576601524,0.3035757636858853,0.3429923014369596,0.6085816773556827,0.625892223290477,0.9741013095593736,0.9815889086566676,c5k,c5k
26,StabMap-louvain,Embedding,5000.0,0.9279927474332436,0.9280553257939632,0.53615214726681,0.5160852709617285,0.7199284163684079,0.709318139608373,0.981636087176896,0.991096463614527,c5k,c5k
27,totalVI-louvain,Embedding,5000.0,0.90157098688839,0.9445992596021362,0.5509522286969595,0.5449594735595338,0.7314074990584972,0.7184841277752702,0.9788212517038548,0.9831307633271626,c5k,c5k
28,SeuratV5,Embedding,5000.0,0.8839100660994681,0.9060982070067926,0.4963313709361083,0.4356331610806472,0.7315675232417412,0.6893534574774037,0.9893618547525538,0.9944204227643288,c10k,c5k
29,SeuratV5,Embedding,5000.0,0.8962886242855151,0.924416730581086,0.5208445180617183,0.45888168208589,0.731761458423258,0.6941003451689223,0.9885852445602576,0.9931621823022936,c20k,c5k
30,SeuratV5,Embedding,5000.0,0.8961359180418144,0.8977431273482237,0.4746144360424519,0.4301626113515444,0.7305110872992105,0.6950975303256548,0.9874895539626756,0.9937915160688248,c3k,c5k
31,SeuratV5,Embedding,5000.0,0.8942098328241752,0.9236366097368368,0.5428333142986138,0.4897129373564681,0.7365270476774047,0.7016265591137076,0.9891900607708524,0.9944668105551976,c5k,c5k
