,method,Output,nCell,Batch_ASW_batch-RNA,Batch_ASW_site-RNA,graph_connectivity_label-RNA,graph_connectivity_label.l1-RNA,graph_connectivity_cluster-RNA,graph_iLISI-RNA,ARI-RNA,ARI.l1-RNA,AMI-RNA,AMI.l1-RNA,graph_cLISI-RNA,graph_cLISI.l1-RNA,isolated_labels_ASW-RNA,isolated_labels_ASW.l1-RNA,Batch_ASW_batch-ATAC,Batch_ASW_site-ATAC,graph_connectivity_label-ATAC,graph_connectivity_label.l1-ATAC,graph_connectivity_cluster-ATAC,graph_iLISI-ATAC,ARI-ATAC,ARI.l1-ATAC,AMI-ATAC,AMI.l1-ATAC,graph_cLISI-ATAC,graph_cLISI.l1-ATAC,isolated_labels_ASW-ATAC,isolated_labels_ASW.l1-ATAC,FOSCTTM,nearest_cell_barcode,nearest_cell_barcode-RNA,nearest_cell_barcode-ATAC,nearest_cell_celltype,nearest_cell_celltype-RNA,nearest_cell_celltype-ATAC,nearest_cell_celltype.l1,nearest_cell_celltype.l1-RNA,nearest_cell_celltype.l1-ATAC
0,cobolt-louvain,Embedding,6781.0,,,0.9845306993045608,0.9881696665998664,1.0,,0.6467053824428427,0.5237206460065764,0.819606056778485,0.7439164868073018,0.9918208171304066,0.9986494075247112,0.6131159020076032,0.6321085049039201,,,0.9732888152249104,0.9816167091724886,1.0,,0.576792556648147,0.5195671426138383,0.74710197860408,0.7058098397222741,0.9776751513526758,0.9889610935154948,0.5725184202921647,0.6037232862089107,0.0504603533546557,0.0071523374133608,0.0067836602271051,0.0075210145996165,0.7350685739566436,0.7678808435334021,0.702256304379885,0.8481787346998968,0.8753871110455685,0.820970358354225
1,cobolt-louvain,Embedding,6781.0,,,0.987405511815016,0.9929991265189452,1.0,,0.619158092633163,0.5243965401216742,0.8070265728903966,0.741742220073542,0.9905067805759008,0.998928257234644,0.6202986465613594,0.6343687357492039,,,0.974622645663588,0.9793048387314472,1.0,,0.5989069741141106,0.5367435305294115,0.7564322243147715,0.7115849229252398,0.9780544759029016,0.9911881159042428,0.5708846718717221,0.6059245925705538,0.0503421657027633,0.0090694587818905,0.0076684854741188,0.0104704320896622,0.7435481492405249,0.7963427223123433,0.6907535761687067,0.858575431352308,0.8935260286093496,0.8236248340952662
2,cobolt-louvain,Embedding,6781.0,,,0.9855488851447732,0.9871501199009988,1.0,,0.6417249370828431,0.5386321793015659,0.8108178017589731,0.7472424245157178,0.9897030668340492,0.9994781560918452,0.6103535801062628,0.6350094069552648,,,0.9679789021735682,0.9802968244688918,1.0,,0.613387641130469,0.580938893273175,0.737734088572565,0.7137540126705022,0.9753711242404014,0.987788311814095,0.5600027028508934,0.5993963839189986,0.062324136197671,0.0067836602271051,0.0066361893526028,0.0069311311016074,0.6560979206606695,0.716708450081109,0.5954873912402301,0.8085828048960331,0.835422504055449,0.781743105736617
3,cobolt-louvain,Embedding,6781.0,,,0.9880293574633144,0.9947225241456236,1.0,,0.6522399044698252,0.5411062776973826,0.8191910762734791,0.75132905685593,0.99075435644518,0.999161095254068,0.619792769258276,0.6408690335645554,,,0.9692152949962628,0.9737465201203136,1.0,,0.5235080444613411,0.4912581890377768,0.7410047714007822,0.7106407039937426,0.9813428617812086,0.9909101342031532,0.5771536563733383,0.6131454929916011,0.0569650672358231,0.0070786019761097,0.0067836602271051,0.0073735437251142,0.6977584427075652,0.7969326058103524,0.598584279604778,0.8427223123433122,0.8830555965196873,0.802389028166937
4,cobolt-louvain,Embedding,6781.0,,,0.9886808436670744,0.9887676840528778,1.0,,0.6427710333445782,0.5245684082072858,0.8214768340589464,0.7423193969345758,0.9905699897557888,0.9992663142513748,0.615298018652313,0.6377786432798198,,,0.9766056424391708,0.9766979248087194,1.0,,0.6318574357800106,0.5559784862238865,0.7610251728642976,0.7169166805711337,0.9784223004026328,0.989244169114412,0.5752639401452688,0.6113876282268036,0.0486049627157049,0.0075210145996165,0.0063412476035982,0.0087007815956348,0.7377967851349359,0.7754018581330188,0.7001917121368529,0.8505382686919334,0.8871847810057514,0.8138917563781153
5,MIDAS-louvain,Embedding,6781.0,,,0.9923701731428342,0.9937417951981692,1.0,,0.6217936830820894,0.5269490565970073,0.7995314361300915,0.7426955921990022,0.9886555973240544,0.9961808467434832,0.5749833765172431,0.5710266423684781,,,0.9508916815423611,0.9673686872563756,1.0,,0.4417528444458647,0.3803043898252908,0.6855297715734916,0.6449722539848503,0.975904907054516,0.984572390949218,0.5465966426225973,0.5480317592118592,0.094937349453191,0.013419849579708,0.0147470874502285,0.0120926117091874,0.7976699601828638,0.8169886447426633,0.7783512756230645,0.8750184338593128,0.8858575431352308,0.8641793245833947
6,MIDAS-louvain,Embedding,6781.0,,,0.9927168521985612,0.9929069311492872,1.0,,0.6116450839378905,0.5188013692599254,0.7881365609042895,0.7295533684562937,0.9877506233239768,0.994500804863351,0.5740754134044105,0.5703127219161093,,,0.9544201905766792,0.9727281735842264,1.0,,0.4951535952822217,0.4214191253668492,0.6814723859823357,0.6299379460447088,0.9730879362279988,0.981367204676496,0.5532752707875017,0.5538244923323842,0.0838512193944925,0.0157056481344934,0.0179914466892788,0.013419849579708,0.7988497271788821,0.8212653001032296,0.7764341542545348,0.8752396401710663,0.8892493732487834,0.861229907093349
7,MIDAS-louvain,Embedding,6781.0,,,0.9948993541267708,0.9940771856117804,1.0,,0.6253119188062978,0.5544924777234547,0.7963898070494682,0.7499361644752977,0.9876925750401148,0.9951531923986924,0.5741122160442008,0.5680405824582793,,,0.9595598914941365,0.9774157794107649,1.0,,0.4731154575955806,0.4139828429251813,0.6926068163853644,0.648359701796713,0.9714980570979675,0.983712657349322,0.5468458591490182,0.5488360745390739,0.1090997619696993,0.0141572039522194,0.0143046748267217,0.0140097330777171,0.7957528388143342,0.8181684117386816,0.7733372658899867,0.8714053974340068,0.8812859460256599,0.8615248488423536
8,MIDAS-louvain,Embedding,6781.0,,,0.9917510035718043,0.992277477374976,1.0,,0.6141847953506736,0.5285073692407652,0.7937731134285873,0.7410483438829075,0.9880231837277806,0.9942412772269776,0.5723882485368306,0.5660942849390616,,,0.9597803277744416,0.9734993718750428,1.0,,0.4774168710540409,0.4082593981656681,0.6780759914307138,0.6366883326871651,0.9724014424050804,0.9817228836541004,0.5470284717402214,0.5479429317187705,0.0942293979154129,0.0143046748267217,0.0143046748267217,0.0143046748267217,0.8016516737944256,0.8186108243621885,0.7846925232266627,0.8755345819200708,0.8834980091431942,0.8675711546969473
9,MIDAS-louvain,Embedding,6781.0,,,0.9914374393154258,0.9943312755954368,1.0,,0.615502010524014,0.5244785101558552,0.7940625049970833,0.736098684054681,0.9915348435773832,0.996830374462893,0.5746316023777366,0.5675805955685047,,,0.96414744013832,0.9758454969798264,1.0,,0.4631293930540376,0.3902596589576065,0.6897278910570639,0.642804247986234,0.9750759807902932,0.9866403347364016,0.5546313089491328,0.5536127093062635,0.0877958206262669,0.0163692670697537,0.016516737944256,0.0162217961952514,0.8019466155434303,0.8258368972128005,0.7780563338740599,0.8770830261023448,0.8914614363663177,0.8627046158383719
10,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
11,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
12,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
13,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
14,multigrate-louvain,Embedding,6781.0,,,0.971354148822956,0.9761172325234504,1.0,,0.5753384153707837,0.4433735323189186,0.8079105494064881,0.7202455378272057,0.9957281285026096,0.9998506574404066,0.6533745437912009,0.6439472362313015,,,0.9100366555107504,0.9337264693397306,1.0,,0.4289988549493397,0.3671821364806122,0.6428493061732689,0.6068387732948738,0.9681212411223395,0.9775165905484332,0.5277698983079275,0.5879723304243459,0.1403711664232849,0.0017696504940274,0.002064592243032,0.0014747087450228,0.4624686624391683,0.4373986137737797,0.4875387111045569,0.6355257336676007,0.6136263088040113,0.6574251585311901
15,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
16,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
17,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
18,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
19,multivi-louvain,Embedding,6781.0,,,0.9902374908510476,0.9920309825398989,1.0,,0.650225066066611,0.5428097098487045,0.8307968179560817,0.7560675363506401,0.9948876685455628,0.9988529297935608,0.6397206457002943,0.618634417960722,,,0.9801346841334736,0.9795285724969646,1.0,,0.5425188118714226,0.4606923546120204,0.7630714055089024,0.7017862622110232,0.9863174286483248,0.9907698079839168,0.6030831372406753,0.6005441677626197,0.0382359943282975,0.010839109275918,0.0101754903406577,0.0115027282111782,0.8287863147028462,0.8413213390355405,0.8162512903701519,0.89418964754461,0.8988349800914319,0.889544314997788
20,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
21,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
22,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
23,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
24,scmomat-louvain,Embedding,6781.0,,,0.97186351097576,0.9909617247043226,1.0,,0.494749895655141,0.4357859630796973,0.7434283401896413,0.6908106299027258,0.9853591044346328,0.9926458100782088,0.5621499817620547,0.5850741875067546,,,0.9415418047556418,0.9508084789535142,1.0,,0.3547951489675068,0.3550593580241067,0.609376335929641,0.5965887170197492,0.9640105619086278,0.9775318164711396,0.5192222523061336,0.5634363978985316,0.2707394862955061,0.0031706238017991,0.0022120631175342,0.004129184486064,0.4485326647987022,0.4471316914909305,0.4499336381064739,0.6482819643120483,0.6637664061347884,0.6327975224893083
25,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
26,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
27,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
28,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
29,StabMap,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3177021419334421,0.0009585606842648,0.0013272378705205,0.0005898834980091,0.3248783365285356,0.467482672172246,0.1822740008848252,0.4361451113405102,0.570712284323846,0.3015779383571744
30,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
31,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
32,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
33,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
34,SeuratV5,Embedding,13562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372368742603213,0.011871405397434,0.0137147913287125,0.0100280194661554,0.8424273705943076,0.8619672614658604,0.8228874797227548,0.8917563781153222,0.910780120926117,0.8727326353045274
