,method,Output,nCell,Batch_ASW_batch,graph_connectivity,graph_connectivity.l1,graph_iLISI,ARI,ARI.l1,AMI,AMI.l1,graph_cLISI,graph_cLISI.l1,isolated_labels_ASW,isolated_labels_ASW.l1,paired_size,unpaired_size
0,cobolt-louvain,Embedding,10000.0,0.9553579651164944,0.9415153089949232,0.9578698554813534,0.9277497174817269,0.4954834484932998,0.4682985083957326,0.6863794807432121,0.6680230672606511,0.9788713113695634,0.9850486659428376,0.5508667983707379,0.5874391933903098,c10k,c5k
1,MIDAS-louvain,Embedding,10000.0,0.945481655574782,0.965549137920122,0.9684614739250272,0.9078924921519322,0.4886581987498294,0.4864747322461476,0.6643080288718379,0.6544973196194587,0.9680541553832004,0.9737456508393528,0.531849190603349,0.5354879352057146,c10k,c5k
2,multigrate-louvain,Embedding,10000.0,,0.4907875063409246,0.5280192697900874,0.0,0.336664393420922,0.3382296685743775,0.5885225455054767,0.5825148615836014,0.9733151252423616,0.9804074888996804,0.5197005922038277,0.5712333085636297,c10k,c5k
3,multivi-louvain,Embedding,10000.0,0.9394502817036352,0.962861147694974,0.9654884703021052,0.8692853494079187,0.5309232971927561,0.4789985128728097,0.6932640393712262,0.6691445518734948,0.982148448277362,0.986999343910459,0.5661000274968419,0.5744554636379083,c10k,c5k
4,scmomat-louvain,Embedding,10000.0,0.7737739728065415,0.7952841452923489,0.9258841764827594,0.0517480638180924,0.2216456870098654,0.2737412128188707,0.4553082368720234,0.4780871820656963,0.9482366618071952,0.9374403154665084,0.4762355196818879,0.5048705434892327,c10k,c5k
5,cobolt-louvain,Embedding,10000.0,0.9470925189265008,0.949681734140546,0.9616305633890132,0.9216635408095808,0.4918150236460628,0.447069424235234,0.6846712340413521,0.6540556675392827,0.9794736964424428,0.9858583568310558,0.5516185391461477,0.5933448813027806,c20k,c5k
6,MIDAS-louvain,Embedding,10000.0,0.9218927615588668,0.9679675452121168,0.965114506432897,0.9010817752334284,0.4704877275632159,0.4725551794967161,0.6551678181644868,0.6441015521938269,0.9669536589139875,0.9712222478383324,0.5386926786053333,0.5341557175949371,c20k,c5k
7,multigrate-louvain,Embedding,10000.0,,0.5551010044514713,0.6426614253906539,0.0,0.3413811288948775,0.3442551052599241,0.5927458297861011,0.5812076789672225,0.973115299618381,0.9807749698871444,0.5257776332384144,0.5781563615374681,c20k,c5k
8,multivi-louvain,Embedding,10000.0,0.9607073990221252,0.9724810320689092,0.9665477119682754,0.9166995175504212,0.5382907289389949,0.4688029797019913,0.7067244127195507,0.6639724587866318,0.9818710586038945,0.98736114001495,0.5674978561530059,0.5674694800852902,c20k,c5k
9,scmomat-louvain,Embedding,10000.0,0.7746485659797122,0.7660032403336547,0.8519291336230221,0.0215468504833524,0.242469993351118,0.2560000548410563,0.4822052514120998,0.490194788582206,0.9489313202704196,0.9477188919494176,0.4709917299491776,0.5044585936185386,c20k,c5k
10,cobolt-louvain,Embedding,10000.0,0.930443462424761,0.9303117201716976,0.932162558926168,0.8912194072789004,0.5245347881094805,0.5727621554401386,0.6868576902122144,0.6938347161987475,0.9730498774619404,0.982606522986924,0.5422385390212928,0.5927492924448516,c3k,c5k
11,MIDAS-louvain,Embedding,10000.0,0.9397958653532296,0.950430163580645,0.9582071214758844,0.900856579468002,0.4171882443550106,0.4811810654342083,0.6192157354099704,0.6354342103653596,0.9643899118483878,0.9691232043148764,0.529611421061087,0.5401685946071666,c3k,c5k
12,multigrate-louvain,Embedding,10000.0,,0.4604612074651896,0.4579224075006041,0.0,0.3211794613361919,0.3206525196807097,0.5614619656529206,0.5564693973743261,0.9643321727414236,0.9706905917821054,0.5113308544175446,0.5488275974575016,c3k,c5k
13,multivi-louvain,Embedding,10000.0,0.8693608996460119,0.935006279613424,0.9608685144973412,0.6807802177983555,0.4563958494329903,0.4577296283514261,0.6736193815937196,0.6633984696880525,0.9742272770105128,0.9841313991708116,0.5489702243040401,0.5861718137489839,c3k,c5k
14,scmomat-louvain,Embedding,10000.0,0.7683340503197545,0.8091580858356806,0.9000914400098031,0.0575624260477778,0.2678078356395122,0.3080652360635756,0.4959894340970657,0.5163643099217863,0.9493932973226824,0.9522085108390944,0.4827186453939331,0.5089611896417208,c3k,c5k
15,cobolt-louvain,Embedding,10000.0,0.944628853405604,0.9428923681517548,0.9555150036496832,0.9179976753762435,0.4460763068018389,0.4414494064313677,0.6592206587476981,0.6540227362285641,0.9721712569157926,0.9792827743529832,0.5426717359382152,0.5875316432987651,c5k,c5k
16,MIDAS-louvain,Embedding,10000.0,0.9568524070690844,0.9499551363178556,0.9599863244927734,0.8942893293376961,0.3636827862488931,0.3858215205317361,0.614207806300536,0.6149890487645846,0.9643157896494348,0.967291522980881,0.5314966260550797,0.5421915504977934,c5k,c5k
17,multigrate-louvain,Embedding,10000.0,0.4929810574855623,0.5248301848010276,0.7539423266517813,0.0,0.3403761292834795,0.3469973380422624,0.5803038756789463,0.5826793009445168,0.9683412416712592,0.9745563759705064,0.5114291539327744,0.5571575723847167,c5k,c5k
18,multivi-louvain,Embedding,10000.0,0.920589511508219,0.9557526145620056,0.9616270828051848,0.7958952221744096,0.4889683993066979,0.5159047973186963,0.6820666913316512,0.6793297790642943,0.9792100685867704,0.9854187934207173,0.558784322199327,0.5804380342338441,c5k,c5k
19,scmomat-louvain,Embedding,10000.0,0.7927827395298342,0.7884342866497469,0.9222374789464196,0.0363638360429758,0.248112558250057,0.2813109800725215,0.4885807093740061,0.5032092024321488,0.9514796968563676,0.9457009754924348,0.4740508975069546,0.4983128520349661,c5k,c5k
20,SeuratV5,Embedding,10000.0,0.8182476625975088,0.9413364857268616,0.9637375758081064,0.665672849258474,0.4741120549569853,0.3740877078990954,0.7008260560110399,0.6324330456430185,0.9876398494206412,0.9881515021266976,0.5878987359941344,0.5496231230596701,c10k,c5k
21,SeuratV5,Embedding,10000.0,0.8236210343141771,0.9444508367268124,0.9604833858828364,0.6685737111861352,0.4580028311711827,0.3622320751863548,0.6965391126161594,0.6291146396814026,0.9882041890175234,0.992410861449106,0.5898396172084507,0.5510222666586438,c20k,c5k
22,SeuratV5,Embedding,10000.0,0.8092889900003135,0.9298133796988086,0.9444121461538209,0.6753863861670848,0.4441697455385622,0.3574386013000197,0.6707886186921228,0.6104444202963923,0.987382695827081,0.9907802703246902,0.5755713240201161,0.5466772194227411,c3k,c5k
23,SeuratV5,Embedding,10000.0,0.7874531811996165,0.9399139983699304,0.9565847120101147,0.6888289374429599,0.4366009562445904,0.3647617041205543,0.6701990823069731,0.6167469872323942,0.9872232530826734,0.9927732607264984,0.5775939606511119,0.5491716733409299,c5k,c5k
24,StabMap,Embedding,10000.0,0.7423251396836429,0.7459622845884755,0.8611013563859766,0.4186391023757547,0.3696807102109762,0.4334194899384967,0.4733525328907427,0.4943056636034983,0.9326118109704468,0.9150841418443304,0.4668234389444644,0.4872928286592166,c10k,c5k
25,StabMap,Embedding,10000.0,0.7402528822881493,0.7132039519842283,0.8443855915716736,0.1866052621305893,0.2932977689705454,0.3395965726872673,0.4639301569776262,0.4781667154704369,0.9327585840791588,0.8903001608303782,0.4603582714634368,0.4927442757826712,c20k,c5k
26,StabMap,Embedding,10000.0,0.784864915948996,0.7386417659452621,0.8477518262844597,0.5654233974885636,0.3222670977893327,0.4127999623718956,0.4352190771601065,0.4651406519773724,0.920327621241035,0.8812968329205444,0.4641293903220106,0.4862707177590992,c3k,c5k
27,StabMap,Embedding,10000.0,0.798370651983457,0.7246082041372989,0.8284474449627537,0.4953477933058883,0.2955820124344936,0.3723169554056799,0.4495233608064518,0.4734322765352722,0.932209739082069,0.9003789941685479,0.4709842471638694,0.4936762204290264,c5k,c5k
